2022-04-24 20:20:10,686 INFO    MainThread:49173 [wandb_setup.py:_flush():75] Loading settings from /home/leeandy/.config/wandb/settings
2022-04-24 20:20:10,687 INFO    MainThread:49173 [wandb_setup.py:_flush():75] Loading settings from /home/leeandy/Deep_learning_lab/lab5/wandb/settings
2022-04-24 20:20:10,687 INFO    MainThread:49173 [wandb_setup.py:_flush():75] Loading settings from environment variables: {}
2022-04-24 20:20:10,687 INFO    MainThread:49173 [wandb_setup.py:_flush():75] Inferring run settings from compute environment: {'program_relpath': 'lab5/main.py', 'program': '/home/leeandy/Deep_learning_lab/lab5/main.py'}
2022-04-24 20:20:10,688 INFO    MainThread:49173 [wandb_init.py:_log_setup():438] Logging user logs to /home/leeandy/Deep_learning_lab/lab5/wandb/run-20220424_202010-1wspygbt/logs/debug.log
2022-04-24 20:20:10,688 INFO    MainThread:49173 [wandb_init.py:_log_setup():439] Logging internal logs to /home/leeandy/Deep_learning_lab/lab5/wandb/run-20220424_202010-1wspygbt/logs/debug-internal.log
2022-04-24 20:20:10,688 INFO    MainThread:49173 [wandb_init.py:init():472] calling init triggers
2022-04-24 20:20:10,688 INFO    MainThread:49173 [wandb_init.py:init():475] wandb.init called with sweep_config: {}
config: {}
2022-04-24 20:20:10,688 INFO    MainThread:49173 [wandb_init.py:init():525] starting backend
2022-04-24 20:20:10,688 INFO    MainThread:49173 [backend.py:_multiprocessing_setup():99] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2022-04-24 20:20:10,699 INFO    MainThread:49173 [backend.py:ensure_launched():219] starting backend process...
2022-04-24 20:20:10,705 INFO    MainThread:49173 [backend.py:ensure_launched():224] started backend process with pid: 49236
2022-04-24 20:20:10,706 INFO    MainThread:49173 [wandb_init.py:init():534] backend started and connected
2022-04-24 20:20:10,712 INFO    MainThread:49173 [wandb_init.py:init():598] updated telemetry
2022-04-24 20:20:10,727 INFO    MainThread:49173 [wandb_init.py:init():629] communicating run to backend with 30 second timeout
2022-04-24 20:20:12,144 INFO    MainThread:49173 [wandb_run.py:_on_init():1922] communicating current version
2022-04-24 20:20:12,348 INFO    MainThread:49173 [wandb_run.py:_on_init():1926] got version response upgrade_message: "wandb version 0.12.15 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2022-04-24 20:20:12,348 INFO    MainThread:49173 [wandb_init.py:init():660] starting run threads in backend
2022-04-24 20:20:12,429 INFO    MainThread:49173 [wandb_run.py:_console_start():1896] atexit reg
2022-04-24 20:20:12,429 INFO    MainThread:49173 [wandb_run.py:_redirect():1769] redirect: SettingsConsole.REDIRECT
2022-04-24 20:20:12,430 INFO    MainThread:49173 [wandb_run.py:_redirect():1774] Redirecting console.
2022-04-24 20:20:12,432 INFO    MainThread:49173 [wandb_run.py:_redirect():1830] Redirects installed.
2022-04-24 20:20:12,432 INFO    MainThread:49173 [wandb_init.py:init():685] run started, returning control to user process
2022-04-24 20:20:12,432 INFO    MainThread:49173 [wandb_config.py:__setitem__():153] config set learning_rate = 0.001 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x7fd990a04850>>
2022-04-24 20:20:12,433 INFO    MainThread:49173 [wandb_run.py:_config_callback():1129] config_cb learning_rate 0.001 None
2022-04-24 20:20:12,433 INFO    MainThread:49173 [wandb_config.py:__setitem__():153] config set batch_size = 6 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x7fd990a04850>>
2022-04-24 20:20:12,433 INFO    MainThread:49173 [wandb_run.py:_config_callback():1129] config_cb batch_size 6 None
2022-04-24 20:20:12,433 INFO    MainThread:49173 [wandb_config.py:__setitem__():153] config set epochs = 3 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x7fd990a04850>>
2022-04-24 20:20:12,433 INFO    MainThread:49173 [wandb_run.py:_config_callback():1129] config_cb epochs 3 None
